"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"2.2uF1,2.2uF2","2","C_Small_US","","","","Capacitor_SMD:C_0402_1005Metric",""
"C1,C8","2","0.1u","","","","","~"
"C2,C3,C4,C5,C6","5","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","10u","","","","","~"
"C9","1","2.2uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C10","1","1u","","","","","~"
"C11","1","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12","1","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"DS1","1","NHD-C12832A1Z-FSW-FBW-3V3","","","","Ground_Station:LCD_NHD-C12832A1Z-FSW-FBW-3V3",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"LED1","1","LTST-C170KRKT","","","","Ground_Station:LED_LTST-C170KRKT_LTO-M","LTST-C170KRKT"
"R1,R2","2","22","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R4","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5","1","0","","","","Resistor_SMD:R_0402_1005Metric","~"
"R6","1","410","","","","Resistor_SMD:R_0402_1005Metric","~"
"R7","1","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_Push","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
